time,open,high,low,close,Histogram,MACD,Signal,RSI,%K,%D
2014-01-02T14:30:00Z,58.31,58.5,57.9745,58.21,0.035516975,0.739972391,0.704455417,62.78054005,90.10582011,89.4833489
2014-01-03T14:30:00Z,58.29,58.95,58.21,58.66,0.042562294,0.757658284,0.71509599,65.91911014,92.93837097,91.087352
2014-01-06T14:30:00Z,59.16,59.465,58.83,59,0.05992559,0.790002978,0.730077388,68.10739023,89.86607358,90.97008822
2014-01-07T14:30:00Z,59.29,59.43,58.11,58.32,0.017615182,0.752096365,0.734481183,59.83280847,84.07486328,88.95976928
2014-01-08T14:30:00Z,58.54,58.91,58.3,58.87,0.018576011,0.757701197,0.739125186,63.67673559,81.91881919,85.28658535
2014-01-09T14:30:00Z,58.98,59,58.33,58.76,0.004446048,0.744682746,0.740236698,62.39074286,76.84716923,80.94695057
2014-01-10T14:30:00Z,58.67,58.76,58.175,58.49,-0.028622773,0.704458231,0.733081005,59.22885252,71.88747725,76.88448855
2014-01-13T14:30:00Z,58.51,58.67,57.53,57.7,-0.104948531,0.601895341,0.706843872,51.07305405,46.36170261,65.03211636
2014-01-14T14:30:00Z,58.3,58.58,57.56,57.74,-0.151177916,0.517871477,0.669049393,51.43768217,25.53062843,47.92660276
2014-01-15T14:30:00Z,57.73,59.65,57.73,59.49,-0.066647287,0.585740284,0.652387571,64.05792984,37.36369103,36.41867402
2014-01-16T14:30:00Z,58.79,59.82,58.74,58.99,-0.04802789,0.592352709,0.640380599,59.31497023,55.68700063,39.52710669
2014-01-17T14:30:00Z,59.21,59.23,58.03,58.11,-0.095837683,0.520583495,0.616421178,52.01527427,60.51193321,51.18754162
2014-01-21T14:30:00Z,58.09,58.44,57.58,58.17,-0.1225707,0.463207803,0.585778503,52.44499857,39.01018923,51.73637435
2014-01-22T14:30:00Z,58.33,58.33,57.42,57.59,-0.175255754,0.36670881,0.541964564,47.97258981,20.11948083,39.88053442
2014-01-23T14:30:00Z,57.09,57.1,56.21,56.47,-0.2755073,0.197580439,0.473087739,40.74651301,14.07771588,24.40246198
2014-01-24T14:30:00Z,56,56.36,55.09,55.09,-0.416281906,-0.047264643,0.369017263,33.95900817,4.7618498,12.98634884
2014-01-27T14:30:00Z,55.08,55.795,54.692,55.09,-0.486058776,-0.238556207,0.247502569,33.95900817,4.987842173,7.942469286
2014-01-28T14:30:00Z,55.39,56.3367,55.24,55.74,-0.465088514,-0.333858074,0.13123044,39.46725867,9.399375975,6.383022649
2014-01-29T14:30:00Z,54.96,55.87,54.85,55.53,-0.442162164,-0.421472265,0.020689899,38.35423589,14.84659386,9.744604004
2014-01-30T14:30:00Z,56.07,56.39,55.63,56,-0.374807825,-0.447819882,-0.073012057,42.27773621,20.76183047,15.0026001
2014-01-31T14:30:00Z,55.5,56.11,55.18,55.36,-0.353121052,-0.514413372,-0.16129232,38.66865756,18.29173167,17.96671867
2014-02-03T14:30:00Z,55.5,55.92,54.2,54.31,-0.38655509,-0.644486183,-0.257931093,33.60076098,13.49694557,17.5168359
2014-02-04T14:30:00Z,54.72,55.35,54.6,54.95,-0.344052227,-0.687996376,-0.343944149,38.86051889,9.443004055,13.74389377
2014-02-05T14:30:00Z,55.1,55.45,54.58,55.21,-0.279648204,-0.693504404,-0.4138562,40.90840784,11.09134045,11.34376336
2014-02-06T14:30:00Z,55.35,56.55,55.2,56.48,-0.139799908,-0.588606086,-0.448806177,49.76048426,25.5482526,15.3608657
2014-02-07T14:30:00Z,56.65,56.93,56.255,56.62,-0.03179101,-0.48854494,-0.45675393,50.6383302,40.12501125,25.58820143
2014-02-10T14:30:00Z,56.77,56.92,56.39,56.74,0.04939567,-0.395009343,-0.444405012,51.42185311,54.63490472,40.10272286
2014-02-11T14:30:00Z,56.61,57.57,56.58,57.43,0.145778249,-0.262182201,-0.40796045,55.76933563,71.47412656,55.41134751
2014-02-12T14:30:00Z,57.34,57.71,57.16,57.52,0.208009933,-0.147948034,-0.355957967,56.31846278,83.97793419,70.02898849
2014-02-13T14:30:00Z,57.07,58.1,56.96,58.03,0.271903532,-0.016078552,-0.287982084,59.39486267,96.21257337,83.88821137
2014-02-14T14:30:00Z,57.89,58.23,57.75,58.15,0.307980767,0.096993875,-0.210986892,60.10679636,96.93563704,92.37538154
