time,open,high,low,close,Histogram,MACD,Signal,RSI,%K,%D
2014-01-02T14:30:00Z,138.05,139,137.61,138.13,0.611629152,3.040247948,2.428618796,67.8915922,93.71828459,96.9697915
2014-01-03T14:30:00Z,138.37,138.8799,138.03,138.45,0.43576609,2.973326409,2.537560319,68.62914711,89.71164937,94.10989249
2014-01-06T14:30:00Z,138.75,139.29,137.48,137.63,0.227230015,2.821597838,2.594367823,64.53804822,83.44110542,88.95701313
2014-01-07T14:30:00Z,137.45,138.2,137.13,137.65,0.062235867,2.672162656,2.609926789,64.59348721,79.87913348,84.34396276
2014-01-08T14:30:00Z,137.48,137.75,136.34,136.63,-0.133329997,2.443264293,2.57659429,59.48583687,70.29374921,77.87132937
2014-01-09T14:30:00Z,137.02,137.43,136.201,136.45,-0.283895011,2.221725527,2.505620537,58.6051426,53.70466428,67.95918232
2014-01-10T14:30:00Z,136.95,137.19,135.68,136.18,-0.403458032,2.001297997,2.404756029,57.23628284,32.74772648,52.24871332
2014-01-13T14:30:00Z,135.81,137.06,134.57,134.68,-0.574898079,1.686133431,2.26103151,50.21851104,14.1929625,33.54845108
2014-01-14T14:30:00Z,135.11,137.41,134.74,137.41,-0.498607441,1.637772208,2.136379649,59.86388776,20.28920424,22.4099644
2014-01-15T14:30:00Z,137.77,138.82,137.56,138.44,-0.378396894,1.663383532,2.041780426,62.79299509,38.79408419,24.42541697
2014-01-16T14:30:00Z,137.74,138.5,137.63,138.16,-0.319698529,1.642157264,1.961855794,61.47947824,58.58930603,39.22419815
2014-01-17T14:30:00Z,137.98,138.75,136.98,137.31,-0.338279285,1.539006687,1.877285972,57.54423276,58.02047782,51.80128934
2014-01-21T14:30:00Z,138.45,138.95,136.296,136.99,-0.369728695,1.415125104,1.784853799,56.08866478,49.77246871,55.46075085
2014-01-22T14:30:00Z,137.35,137.49,136.33,136.48,-0.418877966,1.261256341,1.680134307,53.75491778,42.8402364,50.21106098
2014-01-23T14:30:00Z,135.64,135.66,133.95,134.71,-0.55600023,0.985134019,1.54113425,46.52039573,31.99841325,41.53703946
2014-01-24T14:30:00Z,133.73,133.73,130.22,130.22,-0.913390896,0.39939563,1.312786526,34.0145276,18.23277048,31.02380671
2014-01-27T14:30:00Z,130.02,130.59,128.66,128.96,-1.181893662,-0.164580551,1.01731311,31.45876233,5.715887211,18.64902365
2014-01-28T14:30:00Z,129.43,130.01,129.096,129.81,-1.24325881,-0.536760402,0.706498408,35.00656205,4.697116942,9.548591544
2014-01-29T14:30:00Z,130.1,131.27,129,130.25,-1.194908854,-0.787137659,0.407771194,36.82936951,9.847748623,6.753584259
2014-01-30T14:30:00Z,129.96,129.96,126.53,128.05,-1.246081374,-1.149830523,0.096250851,31.99724069,12.95537309,9.166746217
2014-01-31T14:30:00Z,126.6,129.2,126.42,128.19,-1.204776701,-1.409720026,-0.204943324,32.60324159,13.93877256,12.24729809
2014-02-03T14:30:00Z,128.22,128.59,123.61,123.9,-1.387640696,-1.939494194,-0.551853498,25.1942104,9.418301682,12.10414911
2014-02-04T14:30:00Z,126.09,127.6425,124.12,126.72,-1.244516932,-2.107499663,-0.862982731,35.56062265,12.09679126,11.81795517
2014-02-05T14:30:00Z,128.01,128.76,125.92,127.36,-1.040859141,-2.164056658,-1.123197517,37.67165274,15.53672316,12.35060537
2014-02-06T14:30:00Z,127.6,129.2,127.1,128.9,-0.750127648,-2.060857077,-1.310729429,42.54881817,26.40156454,18.01169299
2014-02-07T14:30:00Z,129.57,130.39,128.81,130.33,-0.425370921,-1.842443079,-1.417072159,46.71810289,34.24598001,25.3947559
2014-02-10T14:30:00Z,129.65,130.41,129.0245,129.7,-0.226807,-1.700580909,-1.473773909,45.16308503,40.72270921,33.79008459
2014-02-11T14:30:00Z,129.7,131.49,129.65,130.98,0.004661341,-1.467947233,-1.472608574,48.8856887,49.61498228,41.5278905
2014-02-12T14:30:00Z,130.34,131,130.01,130.44,0.12846081,-1.312032561,-1.440493371,47.42306737,57.50934166,49.28234438
2014-02-13T14:30:00Z,129.29,130.38,128.66,130.14,0.193309195,-1.198856877,-1.392166072,46.58910452,70.50665487,59.21032627
2014-02-14T14:30:00Z,129.77,132.19,129.5,132.12,0.362872406,-0.938575565,-1.301447971,52.52335295,83.18076269,70.39891974
2014-02-18T14:30:00Z,132.31,132.75,131.64,131.8,0.441572371,-0.749482508,-1.191054878,51.52693927,90.55276547,81.41339434
2014-02-19T14:30:00Z,131.33,132.71,130.46,130.56,0.399476747,-0.691708944,-1.091185691,47.74696051,88.27655447,87.33669421
2014-02-20T14:30:00Z,130.65,132.0301,130.0451,131.56,0.42591659,-0.558789953,-0.984706544,50.87668209,84.20860686,87.67930893
2014-02-21T14:30:00Z,131.56,132.33,131.3,131.57,0.429776879,-0.447485445,-0.877262324,50.9083476,83.36980306,85.28498813
2014-02-24T14:30:00Z,131.89,133.46,131.44,132.2,0.45786978,-0.304925099,-0.762794879,52.9653824,86.85988595,84.81276529
2014-02-25T14:30:00Z,132.27,133.43,131.86,132.93,0.505016725,-0.131523973,-0.636540698,55.30251866,88.8567246,86.36213787
2014-02-26T14:30:00Z,133.13,133.4599,132.28,132.86,0.50942969,0.000246414,-0.509183275,55.02019427,90.01549866,88.57736974
2014-02-27T14:30:00Z,132.63,134.58,132,134.34,0.584582773,0.221545191,-0.363037582,59.70414407,93.16093532,90.67771953
2014-02-28T14:30:00Z,134.19,135.2,133.92,134.73,0.629241109,0.423513804,-0.205727305,60.86077409,93.10847978,92.09497125
2014-03-03T14:30:00Z,133.07,133.8099,131.67,132.21,0.465301293,0.375899311,-0.089401982,50.72850415,81.01358239,89.0943325
2014-03-04T14:30:00Z,131.92,133.08,131.58,132.68,0.368964493,0.371803634,0.002839141,52.32277552,69.52089704,81.21431974
2014-03-05T14:30:00Z,132.66,134.0346,132.19,133.85,0.363881507,0.457691025,0.093809518,56.1283736,65.03567788,71.8567191
2014-03-06T14:30:00Z,134.37,134.74,134.02,134.08,0.355443139,0.538113442,0.182670303,56.85740276,73.72552176,69.42736556
2014-03-07T14:30:00Z,134.88,135,133.71,134.11,0.331770377,0.597383274,0.265612897,56.95787197,79.52124843,72.76081602
2014-03-10T13:30:00Z,133.98,134.08,133.1,133.56,0.26201954,0.593137322,0.331117782,54.45416259,75.79718564,76.34798528
2014-03-11T13:30:00Z,133.73,133.84,132.227,132.51,0.134538284,0.499290637,0.364752353,49.94083122,64.95244007,73.42362472
2014-03-12T13:30:00Z,132.07,132.76,131.59,132.57,0.048086466,0.424860436,0.37677397,50.19486234,49.52211762,63.42391444
2014-03-13T13:30:00Z,133.19,133.67,130.64,130.81,-0.124374695,0.2213056,0.345680296,43.26002678,28.03627107,47.50360959
2014-03-14T13:30:00Z,130.08,131.11,129.7,129.83,-0.291642895,-0.018873323,0.272769572,39.95027964,12.8852697,30.14788613
2014-03-17T13:30:00Z,130.66,132.69,130.66,132.27,-0.227966648,-0.012188738,0.21577791,50.17211572,17.60632642,19.50928907
2014-03-18T13:30:00Z,132.49,133.23,132.25,132.74,-0.148078126,0.030680253,0.178758379,51.87158076,34.78787879,21.75982497
2014-03-19T13:30:00Z,132.75,132.85,130.58,131.23,-0.188237426,-0.056538404,0.131699022,46.39651972,43.27272727,31.88897749
2014-03-20T13:30:00Z,131.15,132.85,130.86,132.43,-0.128160259,-0.028501301,0.099658958,50.83753357,44.86678102,40.97579569
2014-03-21T13:30:00Z,133.58,134.24,132.9,133.12,-0.040661065,0.048832626,0.089493691,53.23662876,47.95197256,45.36382695
2014-03-24T13:30:00Z,133.32,133.7,131.8801,132.42,-0.029175007,0.053024932,0.082199939,50.5419945,55.78616352,49.53497237
2014-03-25T13:30:00Z,133.66,134.53,132.895,134.06,0.083465201,0.186531441,0.10306624,56.14291645,66.03773585,56.59195731
2014-03-26T13:30:00Z,134.66,134.89,133.09,133.09,0.086847748,0.211625925,0.124778177,52.36561456,65.8490566,62.55765199
2014-03-27T13:30:00Z,132.82,133.49,132.18,132.84,0.067323166,0.208932135,0.141608968,51.40566011,68.90912616,66.93197287
2014-03-28T13:30:00Z,133.58,134.97,133.18,134.2,0.137057346,0.312930651,0.175873305,56.11837048,69.95074062,68.23630779
2014-03-31T13:30:00Z,134.61,135.8706,134.58,135.66,0.265150992,0.507312045,0.242161053,60.5423665,80.82566649,73.22851109
2014-04-01T13:30:00Z,135.88,136.65,135.67,136.53,0.384851586,0.723225535,0.338373949,62.94002945,93.41647246,81.39762652
2014-04-02T13:30:00Z,135.99,136.25,135.33,136,0.402794791,0.841867438,0.439072647,60.52708055,95.1693017,89.80381355
2014-04-03T13:30:00Z,136.22,137.19,135.7,136.14,0.397857607,0.936394655,0.538537049,60.95292068,91.01194687,93.19924034
2014-04-04T13:30:00Z,136.9,137.77,135.77,135.86,0.351128037,0.977447095,0.626319058,59.56877848,82.73259539,89.63794799
2014-04-07T13:30:00Z,135.81,136.25,134.39,134.4,0.204548315,0.882004452,0.677456137,52.83185577,70.22655015,81.32369747
2014-04-08T13:30:00Z,134.44,135.1525,133.43,134.84,0.123855759,0.832275835,0.708420076,54.50187278,61.38745256,71.44886603
2014-04-09T13:30:00Z,135,135.87,134.5,135.84,0.124145637,0.863602123,0.739456486,58.13018886,59.31969071,63.64456447
2014-04-10T13:30:00Z,135.73,136.43,133.9,133.97,-0.008261107,0.729130102,0.737391209,50.08644726,53.43750047,58.04821458
2014-04-11T13:30:00Z,133.37,133.84,132.39,132.39,-0.198372592,0.489425469,0.687798061,44.48534498,35.49050843,49.41589987
2014-04-14T13:30:00Z,133.45,133.52,132.02,133.15,-0.264900868,0.356671977,0.621572844,47.52514962,19.63055264,36.18618718
2014-04-15T13:30:00Z,133.27,134.35,132.02,134.09,-0.238391118,0.323583947,0.561975065,51.09224484,19.80296077,24.97467395
